dataset,horizon,model,feature_mode,run_tag,MSE,MAE,MAPE,R2,MSE_target,MAE_target,MAPE_target,R2_target,best_val_loss,best_val_r2,trained_epochs,seed,sample_limit,train_samples,val_samples,test_samples,input_size,model_params,train_time_seconds,device,use_validation_best
ETTh1,336,autoformer,multivariate,feature_mode_full_seed42,0.7133598327636719,0.6087449789047241,1020.2119750976562,0.43921446800231934,0.23422598838806152,0.39230117201805115,38.86777877807617,-0.49259912967681885,1.040268111228943,0.2163146048784256,16,42,0,8209,2449,5469,7,149799,40.95366668701172,cuda,True
ETTh1,336,autoformer,univariate,feature_mode_full_seed42,0.1012079194188118,0.248334139585495,33.26161193847656,0.35505515336990356,0.1012079194188118,0.248334139585495,33.26161193847656,0.35505515336990356,0.11991988588124514,-0.5758991479873657,27,42,0,8209,2449,5469,1,149025,68.03649234771729,cuda,True
ETTh1,336,informer,multivariate,feature_mode_full_seed42,1.1367108821868896,0.8351922035217285,1357.97509765625,0.10641026496887207,0.9300563931465149,0.8494166731834412,74.9581069946289,-4.926760196685791,1.267945186793804,0.07768537402153015,14,42,0,8209,2449,5469,7,212439,25.709714889526367,cuda,True
ETTh1,336,informer,univariate,feature_mode_full_seed42,0.24626724421977997,0.4093569219112396,45.325077056884766,-0.5693316459655762,0.24626724421977997,0.4093569219112396,45.325077056884766,-0.5693316459655762,0.13989221937954427,-0.9991757720708847,22,42,0,8209,2449,5469,1,211665,42.46350955963135,cuda,True
ETTh1,336,lstm,multivariate,feature_mode_full_seed42,1.3145527839660645,0.8738325238227844,1753.9295654296875,-0.033394575119018555,0.6391999125480652,0.6868754625320435,61.77509307861328,-3.0732851028442383,1.3238750204443932,0.02539975941181183,23,42,0,8209,2449,5469,7,941616,34.65585947036743,cuda,True
ETTh1,336,lstm,univariate,feature_mode_full_seed42,0.20468725264072418,0.3687551021575928,41.31058883666992,-0.30436432361602783,0.20468725264072418,0.3687551021575928,41.31058883666992,-0.30436432361602783,0.13654291480779648,-0.8388618916273117,22,42,0,8209,2449,5469,1,417360,35.8135769367218,cuda,True
ETTh1,336,patchtst,multivariate,feature_mode_full_seed42,0.5845398902893066,0.5407739281654358,956.75537109375,0.5404822826385498,0.1273222118616104,0.2851191759109497,35.250099182128906,0.1886425018310547,1.0827111676335335,0.18867538273334503,29,42,0,8209,2449,5469,7,177952,37.78760886192322,cuda,True
ETTh1,336,patchtst,univariate,feature_mode_full_seed42,0.20317651331424713,0.37498414516448975,44.066898345947266,-0.2947371006011963,0.20317651331424713,0.37498414516448975,44.066898345947266,-0.2947371006011963,0.18547704294323922,-1.621331614255905,14,42,0,8209,2449,5469,1,177952,25.342495441436768,cuda,True
ETTh1,336,transformer,multivariate,feature_mode_full_seed42,0.9849108457565308,0.7534911632537842,1328.96142578125,0.2257431149482727,0.562877357006073,0.6225486993789673,53.23619842529297,-2.586921215057373,1.2640912160277367,0.08191352486610412,14,42,0,8209,2449,5469,7,520112,21.078275442123413,cuda,True
ETTh1,336,transformer,univariate,feature_mode_full_seed42,0.20573139190673828,0.37422776222229004,42.02937316894531,-0.3110179901123047,0.20573139190673828,0.37422776222229004,42.02937316894531,-0.3110179901123047,0.15313193798065186,-1.2259469985961915,18,42,0,8209,2449,5469,1,259280,27.571499347686768,cuda,True
